uWwMeasureID,sampleID,labID,assayMethodID,instrumentID,reporterID,analysisDate,reportDate,fractionAnalyzed,type,typeOther,unit,unitOther,index,value,qualityFlag,CF,ESV,notes
275_PM267_nPMMoV_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,nPMMoV,,gcL,,1,26993433.117741127,,,,Biological replicate
276_PM267_nPMMoV_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,nPMMoV,,gcL,,1,39280347.021773994,,,,Biological replicate
277_PM267_nPMMoV_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,liquid,nPMMoV,,gcL,,1,3835236.6891189697,,,,Biological replicate
278_PM274_covE_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,covE,,gcL,,1,171882.76368922344,,,,
279_PM274_covE_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,covE,,gcL,,1,129687.27158023114,,,,Biological replicate
280_PM274_covE_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,covE,,gcL,,1,114987.9508163866,,,,Biological replicate
281_PM274_covE_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,covE,,gcL,,1,38982.32221587321,,,,Biological replicate
282_PM274_covE_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,covE,,gcL,,1,123513.2666264941,,,,Biological replicate
283_PM274_covE_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,covE,,gcL,,1,138412.7508929834,,,,Biological replicate
284_PM274_covE_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,liquid,covE,,gcL,,1,43551.13736071407,,,,Biological replicate
285_PM274_covN1_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,covN1,,gcL,,1,83973.54468806897,,,,
286_PM274_covN1_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,covN1,,gcL,,1,107252.6704467139,,,,Biological replicate
287_PM274_covN1_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,covN1,,gcL,,1,76383.82626012241,,,,Biological replicate
288_PM274_covN1_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,covN1,,gcL,,1,48407.596942628945,,,,Biological replicate
289_PM274_covN1_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,covN1,,gcL,,1,78501.59374749177,,,,Biological replicate
290_PM274_covN1_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,covN1,,gcL,,1,76839.98500707529,,,,Biological replicate
291_PM274_covN1_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,liquid,covN1,,gcL,,1,22159.470453624166,,,,Biological replicate
292_PM274_nPMMoV_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,nPMMoV,,gcL,,1,38702367.81530938,,,,
293_PM274_nPMMoV_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,nPMMoV,,gcL,,1,54883479.56760492,,,,Biological replicate
294_PM274_nPMMoV_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,nPMMoV,,gcL,,1,32930517.245302543,,,,Biological replicate
295_PM274_nPMMoV_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,nPMMoV,,gcL,,1,14440969.142305868,,,,Biological replicate
296_PM274_nPMMoV_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,nPMMoV,,gcL,,1,15444134.89303448,,,,Biological replicate
297_PM274_nPMMoV_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,nPMMoV,,gcL,,1,16287056.320847187,,,,Biological replicate
298_PM274_nPMMoV_1_2021-01-11,PM274,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,liquid,nPMMoV,,gcL,,1,15043864.835773941,,,,Biological replicate
299_PM281_covE_1_2021-01-11,PM281,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,covE,,gcL,,1,41404.58869375843,,,,
300_PM281_covN1_1_2021-01-11,PM281,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,covN1,,gcL,,1,16635.858958421664,,,,
301_PM281_nPMMoV_1_2021-01-11,PM281,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,nPMMoV,,gcL,,1,48561286.19834544,,,,
302_PM285_covE_1_2021-01-13,PM285,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-13,2021-03-04,solid,covE,,gcL,,1,1137.5479333798708,,,,Ct value outside of standard curve range
303_PM285_covN1_1_2021-01-13,PM285,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-13,2021-03-04,solid,covN1,,gcL,,1,5.0,,,,no detect
304_PM285_nPMMoV_1_2021-01-13,PM285,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-13,2021-03-04,solid,nPMMoV,,gcL,,1,5.0,,,,no detect
305_PM286_covE_1_2021-01-13,PM286,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-13,2021-03-04,mixed,covE,,gcL,,1,5035.904482860331,,,,
306_PM286_covN1_1_2021-01-13,PM286,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-13,2021-03-04,mixed,covN1,,gcL,,1,11324.506693943164,,,,
307_PM286_nPMMoV_1_2021-01-13,PM286,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-13,2021-03-04,mixed,nPMMoV,,gcL,,1,44812994.37156555,,,,
308_PM287_covE_1_2021-01-13,PM287,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-13,2021-03-04,mixed,covE,,gcL,,1,10076.88624312141,,,,
309_PM287_covN1_1_2021-01-13,PM287,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-13,2021-03-04,mixed,covN1,,gcL,,1,24246.853235848463,,,,
310_PM287_nPMMoV_1_2021-01-13,PM287,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-13,2021-03-04,mixed,nPMMoV,,gcL,,1,81744712.00169049,,,,
311_PM288_covE_1_2021-01-13,PM288,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-13,2021-03-04,mixed,covE,,gcL,,1,8446.179406458346,,,,
312_PM288_covN1_1_2021-01-13,PM288,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-13,2021-03-04,mixed,covN1,,gcL,,1,16305.339148275802,,,,
313_PM288_nPMMoV_1_2021-01-13,PM288,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-13,2021-03-04,mixed,nPMMoV,,gcL,,1,59059124.55691608,,,,
314_PM289_covE_1_2021-01-13,PM289,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-13,2021-03-04,mixed,covE,,gcL,,1,1133.8784848148175,,,,
315_PM289_covN1_1_2021-01-13,PM289,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-13,2021-03-04,mixed,covN1,,gcL,,1,4689.683712615171,,,,One technical replciate outside of standard curve range
316_PM289_nPMMoV_1_2021-01-13,PM289,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-13,2021-03-04,mixed,nPMMoV,,gcL,,1,13086882.562073218,,,,
317_PM290_covE_1_2021-01-13,PM290,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-13,2021-03-04,mixed,covE,,gcL,,1,5.0,,,,no detect
318_PM290_covN1_1_2021-01-13,PM290,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-13,2021-03-04,mixed,covN1,,gcL,,1,5.0,,,,no detect
319_PM290_nPMMoV_1_2021-01-13,PM290,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-13,2021-03-04,mixed,nPMMoV,,gcL,,1,7890220.305059228,,,,
