uWwMeasureID,sampleID,labID,assayMethodID,instrumentID,reporterID,analysisDate,reportDate,fractionAnalyzed,type,typeOther,unit,unitOther,index,value,qualityFlag,CF,ESV,notes,Unnamed: 19,Unnamed: 20,Unnamed: 21
31_Sample S1C_Feb24_covN1_3_2021-02-24,Sample S1C_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,3.0,0.0,,,,Non-detect (ND),,,
32_Sample S1C_Feb24_covN2_1_2021-02-24,Sample S1C_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,1.0,0.0,,,,Non-detect (ND),,,
33_Sample S1C_Feb24_covN2_2_2021-02-24,Sample S1C_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,2.0,0.0,,,,Non-detect (ND),,,
34_Sample S1C_Feb24_covN2_3_2021-02-24,Sample S1C_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,3.0,0.0,,,,Non-detect (ND),,,
35_Sample S1C_Feb24_nPMMoV_1_2021-02-24,Sample S1C_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,1.0,23197.5208,,,,,,,
36_Sample S1C_Feb24_nPMMoV_2_2021-02-24,Sample S1C_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,2.0,27552.43186,,,,,,,
37_Sample S1C_Feb24_nPMMoV_3_2021-02-24,Sample S1C_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,3.0,28915.74291,,,,,,,
38_Sample S2C_Feb24_covN1_1_2021-02-24,Sample S2C_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,1.0,0.474361606,,,,,,,
39_Sample S2C_Feb24_covN1_2_2021-02-24,Sample S2C_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,2.0,0.38701207,,,,,,,
40_Sample S2C_Feb24_covN1_3_2021-02-24,Sample S2C_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,3.0,0.120161151,,,,,,,
41_Sample S2C_Feb24_covN2_1_2021-02-24,Sample S2C_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,1.0,0.345230705,,,,,,,
42_Sample S2C_Feb24_covN2_2_2021-02-24,Sample S2C_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,2.0,0.387225822,,,,,,,
43_Sample S2C_Feb24_covN2_3_2021-02-24,Sample S2C_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,3.0,0.667894214,,,,,,,
44_Sample S2C_Feb24_nPMMoV_1_2021-02-24,Sample S2C_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,1.0,13013.43404,,,,,,,
45_Sample S2C_Feb24_nPMMoV_2_2021-02-24,Sample S2C_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,2.0,18915.05852,,,,,,,
46_Sample S2C_Feb24_nPMMoV_3_2021-02-24,Sample S2C_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,3.0,12227.53045,,,,,,,
47_Sample S4C_Feb24_covN1_1_2021-02-24,Sample S4C_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,1.0,2.404185967,,,,,,,
48_Sample S4C_Feb24_covN1_2_2021-02-24,Sample S4C_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,2.0,0.699763744,,,,,,,
49_Sample S4C_Feb24_covN1_3_2021-02-24,Sample S4C_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,3.0,0.646867028,,,,,,,
50_Sample S4C_Feb24_covN2_1_2021-02-24,Sample S4C_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,1.0,2.406566291,,,,,,,
51_Sample S4C_Feb24_covN2_2_2021-02-24,Sample S4C_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,2.0,2.338915668,,,,,,,
52_Sample S4C_Feb24_covN2_3_2021-02-24,Sample S4C_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,3.0,0.0,,,,Non-detect (ND),,,
53_Sample S4C_Feb24_nPMMoV_1_2021-02-24,Sample S4C_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,1.0,22043.3393,,,,,,,
54_Sample S4C_Feb24_nPMMoV_2_2021-02-24,Sample S4C_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,2.0,27516.62136,,,,,,,
55_Sample S4C_Feb24_nPMMoV_3_2021-02-24,Sample S4C_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,3.0,31937.45919,,,,,,,
56_Sample S5C_Feb24_covN1_1_2021-02-24,Sample S5C_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,1.0,0.0,,,,,,,
57_Sample S5C_Feb24_covN1_2_2021-02-24,Sample S5C_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,2.0,0.452711963,,,,,,,
58_Sample S5C_Feb24_covN1_3_2021-02-24,Sample S5C_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,3.0,0.473877458,,,,,,,
59_Sample S5C_Feb24_covN2_1_2021-02-24,Sample S5C_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,1.0,0.0,,,,Non-detect (ND),,,
60_Sample S5C_Feb24_covN2_2_2021-02-24,Sample S5C_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,2.0,0.0,,,,Non-detect (ND),,,
61_Sample S5C_Feb24_covN2_3_2021-02-24,Sample S5C_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,3.0,0.0,,,,Non-detect (ND),,,
62_Sample S5C_Feb24_nPMMoV_1_2021-02-24,Sample S5C_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,1.0,57884.59448,,,,,,,
63_Sample S5C_Feb24_nPMMoV_2_2021-02-24,Sample S5C_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,2.0,60711.75222,,,,,,,
64_Sample S5C_Feb24_nPMMoV_3_2021-02-24,Sample S5C_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,3.0,54235.03416,,,,,,,
65_Sample S6C_Feb24_covN1_1_2021-02-24,Sample S6C_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,1.0,6.401866051,,,,,,,
66_Sample S6C_Feb24_covN1_2_2021-02-24,Sample S6C_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,2.0,5.367307036,,,,,,,
67_Sample S6C_Feb24_covN1_3_2021-02-24,Sample S6C_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,3.0,5.381707086,,,,,,,
68_Sample S6C_Feb24_covN2_1_2021-02-24,Sample S6C_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,1.0,6.64992137,,,,,,,
69_Sample S6C_Feb24_covN2_2_2021-02-24,Sample S6C_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,2.0,10.51188594,,,,,,,
70_Sample S6C_Feb24_covN2_3_2021-02-24,Sample S6C_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,3.0,7.132686073,,,,,,,
71_Sample S6C_Feb24_nPMMoV_1_2021-02-24,Sample S6C_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,1.0,46291.18262,,,,,,,
72_Sample S6C_Feb24_nPMMoV_2_2021-02-24,Sample S6C_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,2.0,49584.90287,,,,,,,
73_Sample S6C_Feb24_nPMMoV_3_2021-02-24,Sample S6C_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,3.0,50174.03556,,,,,,,
74_Sample S7C_Feb24_covN1_1_2021-02-24,Sample S7C_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,1.0,0.205517918,,,,,,,
75_Sample S7C_Feb24_covN1_2_2021-02-24,Sample S7C_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,2.0,0.0,,,,Non-detect (ND),,,
76_Sample S7C_Feb24_covN1_3_2021-02-24,Sample S7C_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,3.0,0.0,,,,Non-detect (ND),,,
77_Sample S7C_Feb24_covN2_1_2021-02-24,Sample S7C_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,1.0,0.792355397,,,,,,,
78_Sample S7C_Feb24_covN2_2_2021-02-24,Sample S7C_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,2.0,1.076303378,,,,,,,
79_Sample S7C_Feb24_covN2_3_2021-02-24,Sample S7C_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,3.0,0.364856774,,,,,,,
80_Sample S7C_Feb24_nPMMoV_1_2021-02-24,Sample S7C_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,1.0,11385.83508,,,,,,,
81_Sample S7C_Feb24_nPMMoV_2_2021-02-24,Sample S7C_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,2.0,14227.22565,,,,,,,
82_Sample S7C_Feb24_nPMMoV_3_2021-02-24,Sample S7C_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,3.0,12735.75464,,,,,,,
83_Sample S8G_Feb24_covN1_1_2021-02-24,Sample S8G_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,1.0,2.736261944,,,,,,,
84_Sample S8G_Feb24_covN1_2_2021-02-24,Sample S8G_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,2.0,4.191354531,,,,,,,
85_Sample S8G_Feb24_covN1_3_2021-02-24,Sample S8G_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,3.0,0.0,,,,Non-detect (ND),,,
86_Sample S8G_Feb24_covN2_1_2021-02-24,Sample S8G_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,1.0,3.836614776,,,,,,,
87_Sample S8G_Feb24_covN2_2_2021-02-24,Sample S8G_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,2.0,6.154127562,,,,,,,
88_Sample S8G_Feb24_covN2_3_2021-02-24,Sample S8G_Feb24,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN2,,gcMl,,3.0,0.922446787,,,,,,,
89_Sample S8G_Feb24_nPMMoV_1_2021-02-24,Sample S8G_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,1.0,89575.51687,,,,,,,
90_Sample S8G_Feb24_nPMMoV_2_2021-02-24,Sample S8G_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,2.0,91239.93731,,,,,,,
91_Sample S8G_Feb24_nPMMoV_3_2021-02-24,Sample S8G_Feb24,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,nPMMoV,,gcMl,,3.0,103220.4278,,,,,,,
92_Sample S1C_Mar3_covN1_1_2021-03-03,Sample S1C_Mar3,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,covN1,,gcMl,,1.0,0.0,,,,Non-detect (ND),,,
93_Sample S1C_Mar3_covN1_2_2021-03-03,Sample S1C_Mar3,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,covN1,,gcMl,,2.0,0.0,,,,Non-detect (ND),,,
94_Sample S1C_Mar3_covN1_3_2021-03-03,Sample S1C_Mar3,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,covN1,,gcMl,,3.0,0.0,,,,Non-detect (ND),,,
95_Sample S1C_Mar3_covN2_1_2021-03-03,Sample S1C_Mar3,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,covN2,,gcMl,,1.0,0.0,,,,Non-detect (ND),,,
96_Sample S1C_Mar3_covN2_2_2021-03-03,Sample S1C_Mar3,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,covN2,,gcMl,,2.0,0.0,,,,Non-detect (ND),,,
97_Sample S1C_Mar3_covN2_3_2021-03-03,Sample S1C_Mar3,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,covN2,,gcMl,,3.0,0.0,,,,Non-detect (ND),,,
98_Sample S1C_Mar3_nPMMoV_1_2021-03-03,Sample S1C_Mar3,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,nPMMoV,,gcMl,,1.0,63187.23,,,,,,,
99_Sample S1C_Mar3_nPMMoV_2_2021-03-03,Sample S1C_Mar3,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,nPMMoV,,gcMl,,2.0,69925.34083,,,,,,,
100_Sample S1C_Mar3_nPMMoV_3_2021-03-03,Sample S1C_Mar3,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,nPMMoV,,gcMl,,3.0,101888.5549,,,,,,,
101_Sample S2C_Mar3_covN1_1_2021-03-03,Sample S2C_Mar3,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,covN1,,gcMl,,1.0,0.0,,,,Non-detect (ND),,,
102_Sample S2C_Mar3_covN1_2_2021-03-03,Sample S2C_Mar3,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,covN1,,gcMl,,2.0,0.0,,,,Non-detect (ND),,,
103_Sample S2C_Mar3_covN1_3_2021-03-03,Sample S2C_Mar3,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,covN1,,gcMl,,3.0,0.0,,,,Non-detect (ND),,,
104_Sample S2C_Mar3_covN2_1_2021-03-03,Sample S2C_Mar3,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,covN2,,gcMl,,1.0,0.0,,,,Non-detect (ND),,,
105_Sample S2C_Mar3_covN2_2_2021-03-03,Sample S2C_Mar3,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,covN2,,gcMl,,2.0,0.0,,,,Non-detect (ND),,,
106_Sample S2C_Mar3_covN2_3_2021-03-03,Sample S2C_Mar3,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,covN2,,gcMl,,3.0,0.0,,,,Non-detect (ND),,,
107_Sample S2C_Mar3_nPMMoV_1_2021-03-03,Sample S2C_Mar3,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,nPMMoV,,gcMl,,1.0,18619.41,,,,,,,
108_Sample S2C_Mar3_nPMMoV_2_2021-03-03,Sample S2C_Mar3,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,nPMMoV,,gcMl,,2.0,26956.36982,,,,,,,
109_Sample S2C_Mar3_nPMMoV_3_2021-03-03,Sample S2C_Mar3,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,nPMMoV,,gcMl,,3.0,27997.02417,,,,,,,
110_Sample S4C_Mar3_covN1_1_2021-03-03,Sample S4C_Mar3,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,covN1,,gcMl,,1.0,0.226726525,,,,,,,
111_Sample S4C_Mar3_covN1_2_2021-03-03,Sample S4C_Mar3,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,covN1,,gcMl,,2.0,0.239274697,,,,,,,
112_Sample S4C_Mar3_covN1_3_2021-03-03,Sample S4C_Mar3,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-03-03,2021-03-05,liquid,covN1,,gcMl,,3.0,0.265980676,,,,,,,
